rawdate,datestring,fulltime,timestring,,
2018/6/13,20180613,,,,
2018/6/14,20180614,,,,
2018/6/15,20180615,,,,
2018/6/16,20180616,,,,
2018/6/17,20180617,,,,
2018/6/18,20180618,,,,
2018/6/19,20180619,,,,
2018/6/20,20180620,,,,
2018/6/21,20180621,,,,
2018/6/22,20180622,,,,
2018/6/23,20180623,,,,
2018/6/24,20180624,,,,
2018/6/25,20180625,,,,
2018/6/26,20180626,,,,
2018/6/27,20180627,,,,
2018/6/28,20180628,,,,
2018/6/29,20180629,,,,
2018/6/30,20180630,,,,
2018/7/1,20180701,,,,
2018/7/2,20180702,,,,
2018/7/3,20180703,,,,
2018/7/4,20180704,,,,
2018/7/5,20180705,,,,
2018/7/6,20180706,,,,
2018/7/7,20180707,,,,
2018/7/8,20180708,,,,
2018/7/9,20180709,,,,
2018/7/10,20180710,,,,
2018/7/11,20180711,,,,
2018/7/12,20180712,,,,
2018/7/13,20180713,,,,
2018/7/14,20180714,,,,
2018/7/15,20180715,,,,
2018/7/16,20180716,,,,
2018/7/17,20180717,,,,
2018/7/18,20180718,,,,
2018/7/19,20180719,,,,
2018/7/20,20180720,,,,
2018/7/21,20180721,,,,
2018/7/22,20180722,,,,
2018/7/23,20180723,,,,
2018/7/24,20180724,,,,
2018/7/25,20180725,,,,
2018/7/26,20180726,,,,
2018/7/27,20180727,,,,
2018/7/28,20180728,,,,
2018/7/29,20180729,,,,
2018/7/30,20180730,,,,
2018/7/31,20180731,,,,
2018/8/1,20180801,,,,
2018/8/2,20180802,,,,
2018/8/3,20180803,,,,
2018/8/4,20180804,,,,
2018/8/5,20180805,,,,
2018/8/6,20180806,,,,
2018/8/7,20180807,,,,
2018/8/8,20180808,,,,
2018/8/9,20180809,,,,
2018/8/10,20180810,,,,
2018/8/11,20180811,,,,
2018/8/12,20180812,,,,
2018/8/13,20180813,,,,
2018/8/14,20180814,,,,
2018/8/15,20180815,,,,
2018/8/16,20180816,,,,
2018/8/17,20180817,,,,
2018/8/18,20180818,,,,
2018/8/19,20180819,,,,
2018/8/20,20180820,,,,
2018/8/21,20180821,,,,
